,limonene_qtof_67,limonene_qtof_93,limonene_qtof_79,sec.butylbenzene_qtof_105,sec.butylbenzene_qtof_79,sec.butylbenzene_qtof_91,results,well,cl,C_predunweigthed,C_predX,C_predX2,LODunweigthed,LODX,LODX2,DTS,RBS,FC,Sample_ID,OD_induction,OD_harvest
MVARBS177 TB_Glc_amp_kan 25uMIPTG_200nMaTet_50.mzXML,1253102.70800781,793771.84362793,675254.90234375,20481830.8984375,3788702.47753906,3584930.27734375,0.0387549261,50,sample,-22.1190115022,-0.5722393385,8.0098334541,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS177,1.5268127352,MVARBS177 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.879,1.538
MVARBS178 TB_Glc_amp_kan 25uMIPTG_200nMaTet_62.mzXML,1505283.22705078,939386.603515625,719935.033203125,23659137.3161621,4394231.74169922,4201628.59033203,0.0397050235,62,sample,-21.7297102693,-0.2294285427,8.3019557113,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS178,1.5642433517,MVARBS178 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.095,1.441
MVARBS179 TB_Glc_amp_kan 25uMIPTG_200nMaTet_74.mzXML,255470.861816406,91802.6649169922,180644.740722656,25240106.8808594,4693039.64013672,4571567.66845703,0.0036371742,74,sample,-36.508467191,-13.2433031292,-2.7876670946,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS179,0.1432923348,MVARBS179 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.966,2.306
MVARBS180 TB_Glc_amp_kan 25uMIPTG_200nMaTet_86.mzXML,229314.339355469,87525.7783203125,180958.562988281,25015468.1730957,4718116.04931641,4435627.02587891,0.0034988663,86,sample,-36.5651386768,-13.2932068939,-2.8301920109,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS180,0.1378434729,MVARBS180 TB_Glc_amp_kan 25uMIPTG_200nMaTet,2.018,2.732
MVARBS181 TB_Glc_amp_kan 25uMIPTG_200nMaTet_3.mzXML,790971.776611328,545276.035644531,456252.682617188,16395229.3469238,2803055.35058594,2762960.7409668,0.0332582134,3,sample,-24.371282806,-2.555543918,6.319783381,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS181,1.310260882,MVARBS181 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.781,1.659
MVARBS182 TB_Glc_amp_kan 25uMIPTG_200nMaTet_15.mzXML,981124.475097656,670577.88269043,546777.584472656,16273356.9616699,2749979.42138672,2707247.87158203,0.0412071022,15,sample,-21.1142353948,0.3125461897,8.763793215,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS182,1.6234201589,MVARBS182 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.515,1.46
MVARBS183 TB_Glc_amp_kan 25uMIPTG_200nMaTet_27.mzXML,247700.386230469,93412.2609863281,177635.385742188,24482717.9838867,4575330.84277344,4444512.90722656,0.0038154367,27,sample,-36.4354243359,-13.1789830675,-2.7328574975,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS183,0.1503152745,MVARBS183 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.503,2.563
MVARBS184 TB_Glc_amp_kan 25uMIPTG_200nMaTet_39.mzXML,1237997.28417969,777867.220214844,622609.611816406,21228518.2416992,3819162.99951172,3770013.66015625,0.0366425584,39,sample,-22.98455157,-1.334416425,7.3603530596,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS184,1.4435926074,MVARBS184 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.901,2.01
MVARBS185 TB_Glc_amp_kan 25uMIPTG_200nMaTet_51.mzXML,1329097.49853516,875022.58203125,668137.59375,24800652.2108154,4754061.79931641,4595911.28417969,0.0352822407,51,sample,-23.5419400704,-1.8252414706,6.9421021702,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS185,1.3900007011,MVARBS185 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.772,1.696
MVARBS186 TB_Glc_amp_kan 25uMIPTG_200nMaTet_63.mzXML,1059320.88964844,698454.588378906,606966.354980469,17541653.2324219,3039146.74365234,2990817.09814453,0.0398169191,63,sample,-21.6838611741,-0.1890547564,8.3363597666,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS186,1.5686516601,MVARBS186 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.902,1.994
